Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/11/01 23:42:43	Plate Move - Imager to Stage	10906		96 Well Greiner Hanging, 1 Drop	Plate Movement		VatA_10mgmL_Apo	20191011_VatA_trisamm_zoom	leah	Fraser	0 minute
2019/11/01 23:33:16	Plate Inspection (Scheduled)	10906	106788	96 Well Greiner Hanging, 1 Drop	Visible		VatA_10mgmL_Apo	20191011_VatA_trisamm_zoom	leah	Fraser	9.2 minutes
2019/11/01 23:32:47	Plate Move - Storage to Stage	10906		96 Well Greiner Hanging, 1 Drop	Plate Movement		VatA_10mgmL_Apo	20191011_VatA_trisamm_zoom	leah	Fraser	0 minute
2019/11/01 23:15:26	Plate Move - Imager to Stage	11028		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 23:08:07	Plate Inspection (Scheduled)	11028	106787	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	7.1 minutes
2019/11/01 23:07:37	Plate Move - Imager to Stage	11029		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 23:06:58	Plate Move - Storage to Stage	11028		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 23:00:22	Plate Inspection (Scheduled)	11029	106786	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	7.1 minutes
2019/11/01 22:59:53	Plate Move - Storage to Stage	11029		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 11:21:39	Plate Move - Imager to Stage	11028		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 11:11:25	Plate Inspection (Scheduled)	11028	106776	96 Well Greiner Hanging, 1 Drop	Visible		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	10 minutes
2019/11/01 11:10:55	Plate Move - Imager to Stage	11029		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 11:10:16	Plate Move - Storage to Stage	11028		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 11:01:23	Plate Inspection (Scheduled)	11029	106775	96 Well Greiner Hanging, 1 Drop	Visible		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	9.4 minutes
2019/11/01 11:00:53	Plate Move - Storage to Stage	11029		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 11:00:09	Plate Move - Load Port to Stage	11028		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTAPO_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 10:59:53	Plate Move - Load Port to Stage	11029		96 Well Greiner Hanging, 1 Drop	Plate Movement		NURR1	WTH6_MES20K-01-Nov-19-20C	lin	Fraser	0 minute
2019/11/01 10:47:21	Plate Move - Imager to Stage	10966		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	yHSP90_NTD_1_222_finalsetup_5	bryan	Manglik	0 minute
2019/11/01 10:40:09	Plate Inspection (Scheduled)	10966	106774	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	bfaust	yHSP90_NTD_1_222_finalsetup_5	bryan	Manglik	6.9 minutes
2019/11/01 10:39:39	Plate Move - Imager to Stage	10962		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	yHSP90_NTD_1_222_finalsetup	bryan	Manglik	0 minute
2019/11/01 10:38:59	Plate Move - Storage to Stage	10966		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	yHSP90_NTD_1_222_finalsetup_5	bryan	Manglik	0 minute
2019/11/01 10:33:15	Plate Inspection (Scheduled)	10962	106773	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	bfaust	yHSP90_NTD_1_222_finalsetup	bryan	Manglik	6.2 minutes
2019/11/01 10:32:48	Plate Move - Storage to Stage	10962		96 Well MRC, 3 Drop - echo	Plate Movement		bfaust	yHSP90_NTD_1_222_finalsetup	bryan	Manglik	0 minute
2019/11/01 08:14:16	Plate Move - Imager to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/11/01 08:07:34	Plate Inspection (Scheduled)	11021	106772	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	6.5 minutes
2019/11/01 08:07:04	Plate Move - Imager to Stage	11022		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	0 minute
2019/11/01 08:05:59	Plate Move - Storage to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/11/01 07:58:56	Plate Inspection (Scheduled)	11022	106770	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	8 minutes
2019/11/01 07:58:26	Plate Move - Storage to Stage	11022		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	0 minute
2019/11/01 07:50:31	Plate Move - Imager to Stage	11027		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	0 minute
2019/11/01 07:42:29	Plate Inspection (Scheduled)	11027	106767	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	7.8 minutes
2019/11/01 07:41:59	Plate Move - Storage to Stage	11027		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	0 minute
2019/11/01 05:55:18	Plate Move - Imager to Stage	11023		96 Well Greiner Hanging, 3 Drop	Plate Movement		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	0 minute
2019/11/01 05:30:48	Plate Inspection (Scheduled)	11023	106764	96 Well Greiner Hanging, 3 Drop	Visible		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	24.3 minutes
2019/11/01 05:30:18	Plate Move - Storage to Stage	11023		96 Well Greiner Hanging, 3 Drop	Plate Movement		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	0 minute
2019/11/01 05:16:40	Plate Move - Imager to Stage	10905		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A-Pi_D2	gupta	Stroud	0 minute
2019/11/01 05:12:00	Plate Inspection (Scheduled)	10905	106763	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150A-Pi_D2	gupta	Stroud	4.5 minutes
2019/11/01 05:11:30	Plate Move - Imager to Stage	10903		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A-Pi_D1	gupta	Stroud	0 minute
2019/11/01 05:11:06	Plate Move - Storage to Stage	10905		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A-Pi_D2	gupta	Stroud	0 minute
2019/11/01 05:07:02	Plate Inspection (Scheduled)	10903	106762	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150A-Pi_D1	gupta	Stroud	4.3 minutes
2019/11/01 05:06:33	Plate Move - Storage to Stage	10903		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A-Pi_D1	gupta	Stroud	0 minute
2019/11/01 05:04:22	Plate Move - Imager to Stage	10902		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A+Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:59:21	Plate Inspection (Scheduled)	10902	106761	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150A+Pi_D1	gupta	Stroud	4.7 minutes
2019/11/01 04:58:51	Plate Move - Imager to Stage	10904		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A+Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:58:19	Plate Move - Storage to Stage	10902		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A+Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:53:30	Plate Inspection (Scheduled)	10904	106760	96 Well Greiner Hanging, 1 Drop	Visible		PiPT	Y150A+Pi_D2	gupta	Stroud	5.2 minutes
2019/11/01 04:53:00	Plate Move - Imager to Stage	10899		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F-Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:52:36	Plate Move - Storage to Stage	10904		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150A+Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:48:40	Plate Inspection (Scheduled)	10899	106759	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150F-Pi_D1	gupta	Stroud	4.2 minutes
2019/11/01 04:48:11	Plate Move - Imager to Stage	10901		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F-Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:47:18	Plate Move - Storage to Stage	10899		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F-Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:39:18	Plate Inspection (Scheduled)	10901	106757	96 Well Greiner Hanging, 1 Drop	Visible		PiPT	Y150F-Pi_D2	gupta	Stroud	8.7 minutes
2019/11/01 04:38:49	Plate Move - Imager to Stage	10898		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F+Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:38:25	Plate Move - Storage to Stage	10901		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F-Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:34:17	Plate Inspection (Scheduled)	10898	106756	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150F+Pi_D1	gupta	Stroud	4.4 minutes
2019/11/01 04:33:47	Plate Move - Imager to Stage	10900		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F+Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:33:19	Plate Move - Storage to Stage	10898		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F+Pi_D1	gupta	Stroud	0 minute
2019/11/01 04:28:58	Plate Inspection (Scheduled)	10900	106754	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	Y150F+Pi_D2	gupta	Stroud	4.7 minutes
2019/11/01 04:28:28	Plate Move - Imager to Stage	10952		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PEGs II-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 04:27:47	Plate Move - Storage to Stage	10900		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	Y150F+Pi_D2	gupta	Stroud	0 minute
2019/11/01 04:15:54	Plate Inspection (Scheduled)	10952	106752	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	PEGs II-17-Oct-19-20C	Neha Nirwan	Minor	12.4 minutes
2019/11/01 04:15:24	Plate Move - Imager to Stage	10951		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PEGs I-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 04:14:50	Plate Move - Storage to Stage	10952		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PEGs II-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 04:02:03	Plate Inspection (Scheduled)	10951	106750	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	PEGs I-17-Oct-19-20C	Neha Nirwan	Minor	13.2 minutes
2019/11/01 04:01:33	Plate Move - Imager to Stage	10948		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	Classics Lite-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 04:01:03	Plate Move - Storage to Stage	10951		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PEGs I-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 03:48:32	Plate Inspection (Scheduled)	10948	106747	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	Classics Lite-17-Oct-19-20C	Neha Nirwan	Minor	12.9 minutes
2019/11/01 03:48:02	Plate Move - Imager to Stage	10949		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PACT-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 03:47:25	Plate Move - Storage to Stage	10948		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	Classics Lite-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 03:35:22	Plate Inspection (Scheduled)	10949	106745	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	PACT-17-Oct-19-20C	Neha Nirwan	Minor	12.5 minutes
2019/11/01 03:34:20	Plate Move - Imager to Stage	10950		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	MPD Suite-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 03:34:03	Plate Move - Storage to Stage	10949		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	PACT-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 03:22:40	Plate Inspection (Scheduled)	10950	106741	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	MPD Suite-17-Oct-19-20C	Neha Nirwan	Minor	11.5 minutes
2019/11/01 03:03:15	Plate Move - Storage to Stage	10950		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	MPD Suite-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 02:22:55	Plate Move - Imager to Stage	10838		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	0 minute
2019/11/01 02:15:46	Plate Inspection (Scheduled)	10838	106739	96 Well MRC, 3 Drop - echo	Visible	Visible (Default)	ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	6.7 minutes
2019/11/01 02:14:32	Plate Move - Storage to Stage	10838		96 Well MRC, 3 Drop - echo	Plate Movement		ABLE_conc_screen	ABLE_1.3mM_100319	zgaleday	DeGrado	0 minute
2019/11/01 01:06:26	Plate Move - Imager to Stage	10944		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG+-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:53:20	Plate Inspection (Scheduled)	10944	106737	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	JCSG+-17-Oct-19-20C	Neha Nirwan	Minor	12.8 minutes
2019/11/01 00:52:49	Plate Move - Imager to Stage	10945		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core II-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:52:14	Plate Move - Storage to Stage	10944		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG+-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:38:17	Plate Inspection (Scheduled)	10945	106735	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	JCSG Core II-17-Oct-19-20C	Neha Nirwan	Minor	14.4 minutes
2019/11/01 00:37:47	Plate Move - Imager to Stage	10946		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core III-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:37:13	Plate Move - Storage to Stage	10945		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core II-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:25:12	Plate Inspection (Scheduled)	10946	106733	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	JCSG Core III-17-Oct-19-20C	Neha Nirwan	Minor	12.4 minutes
2019/11/01 00:24:42	Plate Move - Imager to Stage	10947		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core IV-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:24:00	Plate Move - Storage to Stage	10946		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core III-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/11/01 00:11:19	Plate Inspection (Scheduled)	10947	106731	96 Well MRC, 2 Drop	Visible		nbF3 and nb9 screen@	JCSG Core IV-17-Oct-19-20C	Neha Nirwan	Minor	13.2 minutes
2019/11/01 00:10:49	Plate Move - Storage to Stage	10947		96 Well MRC, 2 Drop	Plate Movement		nbF3 and nb9 screen@	JCSG Core IV-17-Oct-19-20C	Neha Nirwan	Minor	0 minute
2019/10/31 23:18:21	Plate Move - Imager to Stage	10897		96 Well Greiner Hanging, 1 Drop	Plate Movement		VatA_60mgml_Apo	20191010_VatA_trisamm_grad	leah	Fraser	0 minute
2019/10/31 23:09:19	Plate Inspection (Scheduled)	10897	106729	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	VatA_60mgml_Apo	20191010_VatA_trisamm_grad	leah	Fraser	8.8 minutes
2019/10/31 23:08:48	Plate Move - Storage to Stage	10897		96 Well Greiner Hanging, 1 Drop	Plate Movement		VatA_60mgml_Apo	20191010_VatA_trisamm_grad	leah	Fraser	0 minute
2019/10/31 19:52:28	Plate Move - Imager to Stage	11027		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	0 minute
2019/10/31 19:43:00	Plate Inspection (Scheduled)	11027	106725	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	9.2 minutes
2019/10/31 19:42:31	Plate Move - Storage to Stage	11027		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	0 minute
2019/10/31 19:41:58	Plate Move - Load Port to Stage	11027		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-4-OPT-12-[2]+0.15mM btx 20C	fayal	Minor	0 minute
2019/10/31 17:56:31	Plate Move - Imager to Stage	11023		96 Well Greiner Hanging, 3 Drop	Plate Movement		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	0 minute
2019/10/31 17:31:20	Plate Inspection (Scheduled)	11023	106724	96 Well Greiner Hanging, 3 Drop	Visible		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	24.9 minutes
2019/10/31 17:30:50	Plate Move - Storage to Stage	11023		96 Well Greiner Hanging, 3 Drop	Plate Movement		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	0 minute
2019/10/31 17:30:18	Plate Move - Load Port to Stage	11023		96 Well Greiner Hanging, 3 Drop	Plate Movement		20191009 B5701-09045B-V7-16	B5701-045B-Caco-8K-31-Oct-19	zhang	Shokat	0 minute
2019/10/31 14:59:25	Plate Move - Imager to Stage	10999		96 Well Laminex LCP	Plate Movement		20190809_MM_mEpoR_CHAMP1	16hd-MG2e5-HTK	mravic	DeGrado	0 minute
2019/10/31 14:57:27	Plate Inspection (Scheduled)	10999	106723	96 Well Laminex LCP	Ultraviolet	UV 1000ms (default), UV 500ms	20190809_MM_mEpoR_CHAMP1	16hd-MG2e5-HTK	mravic	DeGrado	1.7 minutes
2019/10/31 14:56:55	Plate Inspection (Scheduled)	10999	106723	96 Well Laminex LCP	Visible	Condenser - 75%, High Contrast	20190809_MM_mEpoR_CHAMP1	16hd-MG2e5-HTK	mravic	DeGrado	0.5 minute
2019/10/31 14:56:24	Plate Move - Imager to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/10/31 14:55:36	Plate Move - Storage to Stage	10999		96 Well Laminex LCP	Plate Movement		20190809_MM_mEpoR_CHAMP1	16hd-MG2e5-HTK	mravic	DeGrado	0 minute
2019/10/31 14:54:30	Plate Move - Load Port to Stage	11012		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransEco	hkratochvil	DeGrado	0 minute
2019/10/31 14:51:40	Plate Move - Storage to Stage	11012		96 Well Laminex LCP	Plate Movement		20191023_aQ30_50mMOG	MemTransEco	hkratochvil	DeGrado	0 minute
2019/10/31 14:49:45	Plate Inspection (Scheduled)	11021	106722	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	6.5 minutes
2019/10/31 14:49:16	Plate Move - Imager to Stage	11022		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	0 minute
2019/10/31 14:48:11	Plate Move - Storage to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/10/31 14:41:21	Plate Inspection (Scheduled)	11022	106721	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	7.7 minutes
2019/10/31 14:40:51	Plate Move - Imager to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/10/31 14:40:06	Plate Move - Storage to Stage	11022		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	0 minute
2019/10/31 14:32:34	Plate Inspection (Scheduled)	11021	106720	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	8.1 minutes
2019/10/31 14:32:04	Plate Move - Imager to Stage	11022		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	0 minute
2019/10/31 14:31:10	Plate Move - Storage to Stage	11021		96 Well Greiner Hanging, 1 Drop	Plate Movement		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-MemGold 2	rashed	Minor	0 minute
2019/10/31 14:22:54	Plate Inspection (Scheduled)	11022	106719	96 Well Greiner Hanging, 1 Drop	Visible		tQ4_CAM_DDM_CHS_EGTA	tQ4CAMEGTA-Mb Class I	rashed	Minor	9 minutes
