Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/11/01 12:10:45	Plate Move - Imager to Stage	11020		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0 minute
2019/11/01 12:10:03	Plate Inspection (Scheduled)	11020	106785	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 250ms	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.3 minute
2019/11/01 12:09:58	Plate Inspection (Scheduled)	11020	106785	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.1 minute
2019/11/01 12:09:34	Plate Inspection (Scheduled)	11020	106784	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 250ms	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.3 minute
2019/11/01 12:09:30	Plate Inspection (Scheduled)	11020	106784	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.1 minute
2019/11/01 12:09:03	Plate Inspection (Scheduled)	11020	106783	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 250ms	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.4 minute
2019/11/01 12:08:58	Plate Inspection (Scheduled)	11020	106783	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.1 minute
2019/11/01 12:08:19	Plate Inspection (Scheduled)	11020	106782	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 250ms	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.6 minute
2019/11/01 12:08:12	Plate Inspection (Scheduled)	11020	106782	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0.1 minute
2019/11/01 12:07:39	Plate Move - Imager to Stage	11019		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p41-1-MPD Suite-25-Oct-19-4C-[2]	fayal	Minor	0 minute
2019/11/01 12:07:13	Plate Move - Storage to Stage	11020		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p41-2-MemGold 2-25-Oct-19-4C-[2]	fayal	Minor	0 minute
2019/11/01 12:07:03	Plate Inspection (Scheduled)	11019	106781	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 250ms	Fayal	p41-1-MPD Suite-25-Oct-19-4C-[2]	fayal	Minor	0.3 minute
2019/11/01 12:06:58	Plate Inspection (Scheduled)	11019	106781	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p41-1-MPD Suite-25-Oct-19-4C-[2]	fayal	Minor	0.1 minute
2019/11/01 12:06:29	Plate Move - Storage to Stage	11019		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p41-1-MPD Suite-25-Oct-19-4C-[2]	fayal	Minor	0 minute
2019/11/01 11:55:02	Plate Move - Imager to Stage	11026		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0 minute
2019/11/01 11:54:15	Plate Inspection (Scheduled)	11026	106780	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 500ms, UV 250ms	Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0.5 minute
2019/11/01 11:54:10	Plate Inspection (Scheduled)	11026	106780	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0.1 minute
2019/11/01 11:53:39	Plate Move - Storage to Stage	11026		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0 minute
2019/11/01 11:52:16	Plate Move - Imager to Stage	11025		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 11:51:29	Plate Inspection (Scheduled)	11025	106779	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 500ms, UV 250ms	Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.5 minute
2019/11/01 11:51:25	Plate Inspection (Scheduled)	11025	106779	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.1 minute
2019/11/01 11:50:55	Plate Move - Storage to Stage	11025		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 11:47:35	Plate Move - Imager to Stage	11024		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 11:46:48	Plate Inspection (Scheduled)	11024	106778	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 500ms, UV 250ms	Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.5 minute
2019/11/01 11:46:44	Plate Inspection (Scheduled)	11024	106778	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.1 minute
2019/11/01 11:46:12	Plate Inspection (Scheduled)	11024	106777	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default), UV 500ms, UV 250ms	Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.5 minute
2019/11/01 11:46:07	Plate Inspection (Scheduled)	11024	106777	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0.1 minute
2019/11/01 11:45:36	Plate Move - Storage to Stage	11024		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 08:12:32	Plate Move - Imager to Stage	11026		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0 minute
2019/11/01 08:04:20	Plate Inspection (Scheduled)	11026	106771	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	8 minutes
2019/11/01 08:03:47	Plate Move - Imager to Stage	11025		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 08:03:13	Plate Move - Storage to Stage	11026		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-3-OPT-12-[2]+0.15mM btx 4C	fayal	Minor	0 minute
2019/11/01 07:55:45	Plate Inspection (Scheduled)	11025	106769	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	7.8 minutes
2019/11/01 07:55:12	Plate Move - Imager to Stage	11024		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 07:54:36	Plate Move - Storage to Stage	11025		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-2-Additive Screen-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 07:47:45	Plate Inspection (Scheduled)	11024	106768	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	7.3 minutes
2019/11/01 07:47:14	Plate Move - Storage to Stage	11024		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p42-1-Silver Bullets-31-Oct-19-4C-[2]+0.15mM btx	fayal	Minor	0 minute
2019/11/01 06:16:12	Plate Move - Imager to Stage	10810		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	0 minute
2019/11/01 06:11:50	Plate Inspection (Scheduled)	10810	106766	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	4.1 minutes
2019/11/01 06:11:17	Plate Move - Imager to Stage	10809		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	0 minute
2019/11/01 06:10:50	Plate Move - Storage to Stage	10810		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray40_4C_TK1SC_9mgml_1:1	abhisek	Minor	0 minute
2019/11/01 06:06:33	Plate Inspection (Scheduled)	10809	106765	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	4.6 minutes
2019/11/01 06:05:59	Plate Move - Storage to Stage	10809		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray39_4C_TK1SC_9mgml_2:1	abhisek	Minor	0 minute
2019/11/01 04:49:34	Plate Move - Imager to Stage	10808		96 Well Greiner Hanging, 1 Drop	Plate Movement		20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	0 minute
2019/11/01 04:42:06	Plate Inspection (Scheduled)	10808	106758	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	7.2 minutes
2019/11/01 04:41:33	Plate Move - Imager to Stage	10841		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3	Mb Class II-03-Oct-19	joana	Stroud	0 minute
2019/11/01 04:40:47	Plate Move - Storage to Stage	10808		96 Well Greiner Hanging, 1 Drop	Plate Movement		20190926 Optimizations	H1/Malonate-26-Sep-19	leah	Fraser	0 minute
2019/11/01 04:33:26	Plate Inspection (Scheduled)	10841	106755	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	Serinc3	Mb Class II-03-Oct-19	joana	Stroud	7.9 minutes
